"trainer/global_step","style b no equiv auto - _step","style b no equiv auto - _step__MIN","style b no equiv auto - _step__MAX","style b no equiv auto - train_eiko_epoch","style b no equiv auto - train_eiko_epoch__MIN","style b no equiv auto - train_eiko_epoch__MAX","best style b auto - _step","best style b auto - _step__MIN","best style b auto - _step__MAX","best style b auto - train_eiko_epoch","best style b auto - train_eiko_epoch__MIN","best style b auto - train_eiko_epoch__MAX"
"500","500","500","500","0.15944570845365524","0.15944570845365524","0.15944570845365524","500","500","500","0.29087099599838256","0.29087099599838256","0.29087099599838256"
"1000","1000","1000","1000","0.13465853498876096","0.13465853498876096","0.13465853498876096","1000","1000","1000","0.20669940429925918","0.20669940429925918","0.20669940429925918"
"1500","1500","1500","1500","0.12285200683772564","0.12285200683772564","0.12285200683772564","1500","1500","1500","0.16509494352340698","0.16509494352340698","0.16509494352340698"
"2000","2000","2000","2000","0.11620767948031425","0.11620767948031425","0.11620767948031425","2000","2000","2000","0.14816268637776375","0.14816268637776375","0.14816268637776375"
"2500","2500","2500","2500","0.11102100402116775","0.11102100402116775","0.11102100402116775","2500","2500","2500","0.13998666310310365","0.13998666310310365","0.13998666310310365"
"3000","3000","3000","3000","0.10768003618717194","0.10768003618717194","0.10768003618717194","3000","3000","3000","0.13393358436226846","0.13393358436226846","0.13393358436226846"
"3500","3500","3500","3500","0.1055913262963295","0.1055913262963295","0.1055913262963295","3500","3500","3500","0.1269145304709673","0.1269145304709673","0.1269145304709673"
"4000","4000","4000","4000","0.10352601680159569","0.10352601680159569","0.10352601680159569","4000","4000","4000","0.11938599772751331","0.11938599772751331","0.11938599772751331"
"4500","4500","4500","4500","0.10156018000841141","0.10156018000841141","0.10156018000841141","4500","4500","4500","0.11322346775233745","0.11322346775233745","0.11322346775233745"
"5000","5000","5000","5000","0.09978888492286206","0.09978888492286206","0.09978888492286206","5000","5000","5000","0.10916599650681019","0.10916599650681019","0.10916599650681019"
"5500","5500","5500","5500","0.09829496492445469","0.09829496492445469","0.09829496492445469","5500","5500","5500","0.10522845885157585","0.10522845885157585","0.10522845885157585"
"6000","6000","6000","6000","0.0974307051897049","0.0974307051897049","0.0974307051897049","6000","6000","6000","0.10327414666116237","0.10327414666116237","0.10327414666116237"
"6500","6500","6500","6500","0.0967824706286192","0.0967824706286192","0.0967824706286192","6500","6500","6500","0.10038985873758793","0.10038985873758793","0.10038985873758793"
"7000","7000","7000","7000","0.09468666890263558","0.09468666890263558","0.09468666890263558","7000","7000","7000","0.09833473913371563","0.09833473913371563","0.09833473913371563"
"7500","7500","7500","7500","0.09402867411077022","0.09402867411077022","0.09402867411077022","7500","7500","7500","0.09560765072703362","0.09560765072703362","0.09560765072703362"
"8000","8000","8000","8000","0.0931489381045103","0.0931489381045103","0.0931489381045103","8000","8000","8000","0.0943751974850893","0.0943751974850893","0.0943751974850893"
"8500","8500","8500","8500","0.09232827697694301","0.09232827697694301","0.09232827697694301","8500","8500","8500","0.0923602686971426","0.0923602686971426","0.0923602686971426"
"9000","9000","9000","9000","0.09162232002615929","0.09162232002615929","0.09162232002615929","9000","9000","9000","0.09042743353545665","0.09042743353545665","0.09042743353545665"
"9500","9500","9500","9500","0.09056947173178195","0.09056947173178195","0.09056947173178195","9500","9500","9500","0.0891442912966013","0.0891442912966013","0.0891442912966013"
"10000","10000","10000","10000","0.09054495295882226","0.09054495295882226","0.09054495295882226","10000","10000","10000","0.087184823513031","0.087184823513031","0.087184823513031"
"10500","10500","10500","10500","0.08931235389411449","0.08931235389411449","0.08931235389411449","10500","10500","10500","0.08547757190465927","0.08547757190465927","0.08547757190465927"
"11000","11000","11000","11000","0.0882826958745718","0.0882826958745718","0.0882826958745718","11000","11000","11000","0.0846394157409668","0.0846394157409668","0.0846394157409668"
"11500","11500","11500","11500","0.08802859017252922","0.08802859017252922","0.08802859017252922","11500","11500","11500","0.08308578824996948","0.08308578824996948","0.08308578824996948"
"12000","12000","12000","12000","0.08775752437114716","0.08775752437114716","0.08775752437114716","12000","12000","12000","0.08124544662237167","0.08124544662237167","0.08124544662237167"
"12500","12500","12500","12500","0.0868067917972803","0.0868067917972803","0.0868067917972803","12500","12500","12500","0.07984137357026339","0.07984137357026339","0.07984137357026339"
"13000","13000","13000","13000","0.08672299779951573","0.08672299779951573","0.08672299779951573","13000","13000","13000","0.07959653045237064","0.07959653045237064","0.07959653045237064"
"13500","13500","13500","13500","0.08623475559055806","0.08623475559055806","0.08623475559055806","13500","13500","13500","0.07860329914093017","0.07860329914093017","0.07860329914093017"
"14000","14000","14000","14000","0.08548210324347019","0.08548210324347019","0.08548210324347019","14000","14000","14000","0.07741417993605137","0.07741417993605137","0.07741417993605137"
"14500","14500","14500","14500","0.0846704452484846","0.0846704452484846","0.0846704452484846","14500","14500","14500","0.07674395488202572","0.07674395488202572","0.07674395488202572"
"15000","15000","15000","15000","0.08498828493058681","0.08498828493058681","0.08498828493058681","15000","15000","15000","0.07592523913085461","0.07592523913085461","0.07592523913085461"
"15500","15500","15500","15500","0.08449397131055593","0.08449397131055593","0.08449397131055593","15500","15500","15500","0.07618591923266649","0.07618591923266649","0.07618591923266649"
"16000","16000","16000","16000","0.08360902106761932","0.08360902106761932","0.08360902106761932","16000","16000","16000","0.07462963131070137","0.07462963131070137","0.07462963131070137"
"16500","16500","16500","16500","0.08357481133937836","0.08357481133937836","0.08357481133937836","16500","16500","16500","0.07413808929175139","0.07413808929175139","0.07413808929175139"
"17000","17000","17000","17000","0.08312164331972599","0.08312164331972599","0.08312164331972599","17000","17000","17000","0.07335371491312981","0.07335371491312981","0.07335371491312981"
"17500","17500","17500","17500","0.08257134532928467","0.08257134532928467","0.08257134532928467","17500","17500","17500","0.0723082664385438","0.0723082664385438","0.0723082664385438"
"18000","18000","18000","18000","0.08240151098370552","0.08240151098370552","0.08240151098370552","18000","18000","18000","0.07180391447991133","0.07180391447991133","0.07180391447991133"
"18500","18500","18500","18500","0.08203387117385864","0.08203387117385864","0.08203387117385864","18500","18500","18500","0.07169757850468159","0.07169757850468159","0.07169757850468159"
"19000","19000","19000","19000","0.08198549445718527","0.08198549445718527","0.08198549445718527","19000","19000","19000","0.07063771168142557","0.07063771168142557","0.07063771168142557"
"19500","19500","19500","19500","0.0815097162052989","0.0815097162052989","0.0815097162052989","19500","19500","19500","0.07067633259296417","0.07067633259296417","0.07067633259296417"
"20000","20000","20000","20000","0.08118196126818657","0.08118196126818657","0.08118196126818657","20000","20000","20000","0.07044851427525282","0.07044851427525282","0.07044851427525282"
"20500","20500","20500","20500","0.08093697840720415","0.08093697840720415","0.08093697840720415","20500","20500","20500","0.0692843590900302","0.0692843590900302","0.0692843590900302"
"21000","21000","21000","21000","0.08054796512424946","0.08054796512424946","0.08054796512424946","21000","21000","21000","0.06842250747233629","0.06842250747233629","0.06842250747233629"
"21500","21500","21500","21500","0.08043277739733458","0.08043277739733458","0.08043277739733458","21500","21500","21500","0.0680147629082203","0.0680147629082203","0.0680147629082203"
"22000","22000","22000","22000","0.08026115204393863","0.08026115204393863","0.08026115204393863","22000","22000","22000","0.06807195554673671","0.06807195554673671","0.06807195554673671"
"22500","22500","22500","22500","0.07962290947139262","0.07962290947139262","0.07962290947139262","22500","22500","22500","0.06809310706704855","0.06809310706704855","0.06809310706704855"
"23000","23000","23000","23000","0.07950409226864576","0.07950409226864576","0.07950409226864576","23000","23000","23000","0.06724369933456183","0.06724369933456183","0.06724369933456183"
"23500","23500","23500","23500","0.07929072756320238","0.07929072756320238","0.07929072756320238","23500","23500","23500","0.06647131747752429","0.06647131747752429","0.06647131747752429"
"24000","24000","24000","24000","0.07894915992766618","0.07894915992766618","0.07894915992766618","24000","24000","24000","0.06580088745057583","0.06580088745057583","0.06580088745057583"
"24500","24500","24500","24500","0.07897269989550114","0.07897269989550114","0.07897269989550114","24500","24500","24500","0.06570028313994408","0.06570028313994408","0.06570028313994408"
"25000","25000","25000","25000","0.07859384635090828","0.07859384635090828","0.07859384635090828","25000","25000","25000","0.0659843433201313","0.0659843433201313","0.0659843433201313"
"25500","25500","25500","25500","0.07827487767487765","0.07827487767487765","0.07827487767487765","25500","25500","25500","0.0659219020307064","0.0659219020307064","0.0659219020307064"
"26000","26000","26000","26000","0.07822804778069258","0.07822804778069258","0.07822804778069258","26000","26000","26000","0.06543780181556941","0.06543780181556941","0.06543780181556941"
"26500","26500","26500","26500","0.0780832618623972","0.0780832618623972","0.0780832618623972","26500","26500","26500","0.0650484921336174","0.0650484921336174","0.0650484921336174"
