"trainer/global_step","best style a mix - _step","best style a mix - _step__MIN","best style a mix - _step__MAX","best style a mix - train_eiko_epoch","best style a mix - train_eiko_epoch__MIN","best style a mix - train_eiko_epoch__MAX","best curve a mix - _step","best curve a mix - _step__MIN","best curve a mix - _step__MAX","best curve a mix - train_eiko_epoch","best curve a mix - train_eiko_epoch__MIN","best curve a mix - train_eiko_epoch__MAX","best curve a meta - _step","best curve a meta - _step__MIN","best curve a meta - _step__MAX","best curve a meta - train_eiko_epoch","best curve a meta - train_eiko_epoch__MIN","best curve a meta - train_eiko_epoch__MAX","best style a meta - _step","best style a meta - _step__MIN","best style a meta - _step__MAX","best style a meta - train_eiko_epoch","best style a meta - train_eiko_epoch__MIN","best style a meta - train_eiko_epoch__MAX"
"250","250","250","250","0.009661894190125168","0.009661894190125168","0.009661894190125168","250","250","250","0.014033722433261573","0.014033722433261573","0.014033722433261573","250","250","250","0.03649747757986188","0.03649747757986188","0.03649747757986188","250","250","250","0.04362034320831299","0.04362034320831299","0.04362034320831299"
"500","500","500","500","0.0029276496777310966","0.0029276496777310966","0.0029276496777310966","500","500","500","0.008229625892825426","0.008229625892825426","0.008229625892825426","500","500","500","0.01908282986469567","0.01908282986469567","0.01908282986469567","500","500","500","0.023688945092260837","0.023688945092260837","0.023688945092260837"
"750","750","750","750","0.002232022185344249","0.002232022185344249","0.002232022185344249","750","750","750","0.006547495006583631","0.006547495006583631","0.006547495006583631","750","750","750","0.01742178008146584","0.01742178008146584","0.01742178008146584","750","750","750","0.012224042138084769","0.012224042138084769","0.012224042138084769"
"1000","1000","1000","1000","0.0019246496898122133","0.0019246496898122133","0.0019246496898122133","1000","1000","1000","0.005464344242122024","0.005464344242122024","0.005464344242122024","1000","1000","1000","0.015638835275545715","0.015638835275545715","0.015638835275545715","1000","1000","1000","0.009526685871183872","0.009526685871183872","0.009526685871183872"
"1250","1250","1250","1250","0.0017198489643633365","0.0017198489643633365","0.0017198489643633365","1250","1250","1250","0.004819396548904478","0.004819396548904478","0.004819396548904478","1250","1250","1250","0.014587547739967704","0.014587547739967704","0.014587547739967704","1250","1250","1250","0.008234973162412644","0.008234973162412644","0.008234973162412644"
"1500","1500","1500","1500","0.0015753340129740535","0.0015753340129740535","0.0015753340129740535","1500","1500","1500","0.004671475738286972","0.004671475738286972","0.004671475738286972","1500","1500","1500","0.014196983287110925","0.014196983287110925","0.014196983287110925","1500","1500","1500","0.007882808547466993","0.007882808547466993","0.007882808547466993"
"1750","1750","1750","1750","0.001464036722201854","0.001464036722201854","0.001464036722201854","1750","1750","1750","0.004353202037978917","0.004353202037978917","0.004353202037978917","1750","1750","1750","0.012330461904406547","0.012330461904406547","0.012330461904406547","1750","1750","1750","0.006894377734512091","0.006894377734512091","0.006894377734512091"
"2000","2000","2000","2000","0.0013687248374335468","0.0013687248374335468","0.0013687248374335468","2000","2000","2000","0.004288571160752326","0.004288571160752326","0.004288571160752326","2000","2000","2000","0.012087454311084002","0.012087454311084002","0.012087454311084002","2000","2000","2000","0.006462516198866069","0.006462516198866069","0.006462516198866069"
"2250","2250","2250","2250","0.0012883033852558582","0.0012883033852558582","0.0012883033852558582","2250","2250","2250","0.004245378230232745","0.004245378230232745","0.004245378230232745","2250","2250","2250","0.011769560365006327","0.011769560365006327","0.011769560365006327","2250","2250","2250","0.006169431136921048","0.006169431136921048","0.006169431136921048"
"2500","2500","2500","2500","0.0012354143837001175","0.0012354143837001175","0.0012354143837001175","2500","2500","2500","0.004232791651505977","0.004232791651505977","0.004232791651505977","2500","2500","2500","0.011804865239188075","0.011804865239188075","0.011804865239188075","2500","2500","2500","0.005890235303901136","0.005890235303901136","0.005890235303901136"
