"trainer/global_step","style b no equiv auto - _step","style b no equiv auto - _step__MIN","style b no equiv auto - _step__MAX","style b no equiv auto - train_mse_epoch","style b no equiv auto - train_mse_epoch__MIN","style b no equiv auto - train_mse_epoch__MAX","best style b auto - _step","best style b auto - _step__MIN","best style b auto - _step__MAX","best style b auto - train_mse_epoch","best style b auto - train_mse_epoch__MIN","best style b auto - train_mse_epoch__MAX"
"500","500","500","500","0.07887025517225266","0.07887025517225266","0.07887025517225266","500","500","500","0.4367843151330948","0.4367843151330948","0.4367843151330948"
"1000","1000","1000","1000","0.0525397986471653","0.0525397986471653","0.0525397986471653","1000","1000","1000","0.16377172816991806","0.16377172816991806","0.16377172816991806"
"1500","1500","1500","1500","0.04485387706756592","0.04485387706756592","0.04485387706756592","1500","1500","1500","0.08972025995254516","0.08972025995254516","0.08972025995254516"
"2000","2000","2000","2000","0.041360589879751206","0.041360589879751206","0.041360589879751206","2000","2000","2000","0.06832281987667084","0.06832281987667084","0.06832281987667084"
"2500","2500","2500","2500","0.038421319729089735","0.038421319729089735","0.038421319729089735","2500","2500","2500","0.060098030352592466","0.060098030352592466","0.060098030352592466"
"3000","3000","3000","3000","0.036655352357029915","0.036655352357029915","0.036655352357029915","3000","3000","3000","0.05454313573241234","0.05454313573241234","0.05454313573241234"
"3500","3500","3500","3500","0.03552656890153885","0.03552656890153885","0.03552656890153885","3500","3500","3500","0.048681406676769255","0.048681406676769255","0.048681406676769255"
"4000","4000","4000","4000","0.03440865531861782","0.03440865531861782","0.03440865531861782","4000","4000","4000","0.04312284358739853","0.04312284358739853","0.04312284358739853"
"4500","4500","4500","4500","0.0336021443516016","0.0336021443516016","0.0336021443516016","4500","4500","4500","0.03926862429976463","0.03926862429976463","0.03926862429976463"
"5000","5000","5000","5000","0.03272369945049286","0.03272369945049286","0.03272369945049286","5000","5000","5000","0.03701303507089615","0.03701303507089615","0.03701303507089615"
"5500","5500","5500","5500","0.03196055391728878","0.03196055391728878","0.03196055391728878","5500","5500","5500","0.034817862540483475","0.034817862540483475","0.034817862540483475"
"6000","6000","6000","6000","0.03168440641462803","0.03168440641462803","0.03168440641462803","6000","6000","6000","0.033873604115843774","0.033873604115843774","0.033873604115843774"
"6500","6500","6500","6500","0.03129791258275509","0.03129791258275509","0.03129791258275509","6500","6500","6500","0.03231141817867756","0.03231141817867756","0.03231141817867756"
"7000","7000","7000","7000","0.030368105602264404","0.030368105602264404","0.030368105602264404","7000","7000","7000","0.03118511817455292","0.03118511817455292","0.03118511817455292"
"7500","7500","7500","7500","0.03016468725502491","0.03016468725502491","0.03016468725502491","7500","7500","7500","0.02990238269865513","0.02990238269865513","0.02990238269865513"
"8000","8000","8000","8000","0.029683012342453","0.029683012342453","0.029683012342453","8000","8000","8000","0.029209572985768317","0.029209572985768317","0.029209572985768317"
"8500","8500","8500","8500","0.029324340444803237","0.029324340444803237","0.029324340444803237","8500","8500","8500","0.028238269883394243","0.028238269883394243","0.028238269883394243"
"9000","9000","9000","9000","0.029046607625484465","0.029046607625484465","0.029046607625484465","9000","9000","9000","0.02722804441154003","0.02722804441154003","0.02722804441154003"
"9500","9500","9500","9500","0.0285789050757885","0.0285789050757885","0.0285789050757885","9500","9500","9500","0.026433614978194235","0.026433614978194235","0.026433614978194235"
"10000","10000","10000","10000","0.028627980121970178","0.028627980121970178","0.028627980121970178","10000","10000","10000","0.02548961490392685","0.02548961490392685","0.02548961490392685"
"10500","10500","10500","10500","0.028104687109589577","0.028104687109589577","0.028104687109589577","10500","10500","10500","0.024700888922810554","0.024700888922810554","0.024700888922810554"
