"trainer/global_step","best style a mix - _step","best style a mix - _step__MIN","best style a mix - _step__MAX","best style a mix - train_mse_epoch","best style a mix - train_mse_epoch__MIN","best style a mix - train_mse_epoch__MAX","best curve a mix - _step","best curve a mix - _step__MIN","best curve a mix - _step__MAX","best curve a mix - train_mse_epoch","best curve a mix - train_mse_epoch__MIN","best curve a mix - train_mse_epoch__MAX","best curve a meta - _step","best curve a meta - _step__MIN","best curve a meta - _step__MAX","best curve a meta - train_mse_epoch","best curve a meta - train_mse_epoch__MIN","best curve a meta - train_mse_epoch__MAX","best style a meta - _step","best style a meta - _step__MIN","best style a meta - _step__MAX","best style a meta - train_mse_epoch","best style a meta - train_mse_epoch__MIN","best style a meta - train_mse_epoch__MAX"
"250","250","250","250","0.03829331787228584","0.03829331787228584","0.03829331787228584","250","250","250","0.06821736648082734","0.06821736648082734","0.06821736648082734","250","250","250","0.26945088173151016","0.26945088173151016","0.26945088173151016","250","250","250","0.28872867159843446","0.28872867159843446","0.28872867159843446"
"500","500","500","500","0.011679783311486244","0.011679783311486244","0.011679783311486244","500","500","500","0.038195095494389535","0.038195095494389535","0.038195095494389535","500","500","500","0.10701129752993584","0.10701129752993584","0.10701129752993584","500","500","500","0.15580641100406648","0.15580641100406648","0.15580641100406648"
"750","750","750","750","0.008885292848944664","0.008885292848944664","0.008885292848944664","750","750","750","0.02946571021825075","0.02946571021825075","0.02946571021825075","750","750","750","0.0956106352865696","0.0956106352865696","0.0956106352865696","750","750","750","0.05377927852869034","0.05377927852869034","0.05377927852869034"
"1000","1000","1000","1000","0.00765731460750103","0.00765731460750103","0.00765731460750103","1000","1000","1000","0.02432702951133251","0.02432702951133251","0.02432702951133251","1000","1000","1000","0.08130436938405038","0.08130436938405038","0.08130436938405038","1000","1000","1000","0.041969532293081285","0.041969532293081285","0.041969532293081285"
"1250","1250","1250","1250","0.006835706070810557","0.006835706070810557","0.006835706070810557","1250","1250","1250","0.021200932030379774","0.021200932030379774","0.021200932030379774","1250","1250","1250","0.07517606891691685","0.07517606891691685","0.07517606891691685","1250","1250","1250","0.03493863888978958","0.03493863888978958","0.03493863888978958"
"1500","1500","1500","1500","0.006269764502346516","0.006269764502346516","0.006269764502346516","1500","1500","1500","0.020489709213376044","0.020489709213376044","0.020489709213376044","1500","1500","1500","0.07360086187124253","0.07360086187124253","0.07360086187124253","1500","1500","1500","0.03298800837993622","0.03298800837993622","0.03298800837993622"
"1750","1750","1750","1750","0.00583403282687068","0.00583403282687068","0.00583403282687068","1750","1750","1750","0.01899904803931713","0.01899904803931713","0.01899904803931713","1750","1750","1750","0.062314225578308104","0.062314225578308104","0.062314225578308104","1750","1750","1750","0.028713386565446853","0.028713386565446853","0.028713386565446853"
"2000","2000","2000","2000","0.0054664716057479384","0.0054664716057479384","0.0054664716057479384","2000","2000","2000","0.018880307079851628","0.018880307079851628","0.018880307079851628","2000","2000","2000","0.05969515717625618","0.05969515717625618","0.05969515717625618","2000","2000","2000","0.02690488222539425","0.02690488222539425","0.02690488222539425"
"2250","2250","2250","2250","0.005152880413085223","0.005152880413085223","0.005152880413085223","2250","2250","2250","0.018641351322829722","0.018641351322829722","0.018641351322829722","2250","2250","2250","0.058208205717802046","0.058208205717802046","0.058208205717802046","2250","2250","2250","0.02559048489332199","0.02559048489332199","0.02559048489332199"
"2500","2500","2500","2500","0.004947761795669794","0.004947761795669794","0.004947761795669794","2500","2500","2500","0.018414812348783016","0.018414812348783016","0.018414812348783016","2500","2500","2500","0.058414455738663676","0.058414455738663676","0.058414455738663676","2500","2500","2500","0.024391064357757567","0.024391064357757567","0.024391064357757567"
