test_neural_fit_comp_times,test_eiko_epoch,test_mse_epoch,test_full_re,test_top_re,steps
109.66444659233093,0.09348803,0.05247591,0.025590174,0.02519429,50
222.8883285522461,0.08535607,0.044515133,0.022440974,0.021827905,100
334.71637892723083,0.08272196,0.04224554,0.021166924,0.020765891,150
446.8797821998596,0.081131905,0.04094473,0.02064037,0.019812513,200
561.2209227085114,0.08012745,0.040657304,0.019909449,0.019617707,250
671.3332171440125,0.079502694,0.040344536,0.019736204,0.019419922,300
787.9115273952484,0.07896164,0.039336383,0.019546442,0.018985746,350
893.8414363861084,0.078554116,0.041708693,0.01926907,0.018846389,400
1007.2373068332672,0.078152075,0.03860912,0.019141747,0.018652046,450
1120.6597254276276,0.0779038,0.03844776,0.019015018,0.018470112,500
