test_neural_fit_comp_times,test_eiko_epoch,test_mse_epoch,test_full_re,test_top_re,steps
110.29696917533875,0.06813814,0.02579432,0.019217202,0.020068962,50
222.71974205970764,0.055276766,0.017694283,0.014381218,0.01348158,100
334.9693477153778,0.05094602,0.015257301,0.013134415,0.011989148,150
448.3497009277344,0.04848855,0.014010767,0.012313388,0.011125709,200
560.3657042980194,0.047067747,0.013000201,0.011792976,0.010636529,250
673.3260846138,0.046073843,0.013032032,0.011396633,0.010017844,300
785.6028711795807,0.045183845,0.01221939,0.01111232,0.009932881,350
898.1392285823822,0.044766452,0.012059095,0.011046386,0.009921897,400
1009.667724609375,0.04422086,0.011822445,0.010693154,0.009554258,450
1123.898179769516,0.044042237,0.011972551,0.010773207,0.009556896,500
