test_neural_fit_comp_times,test_eiko_epoch,test_mse_epoch,test_full_re,test_top_re,steps
110.36401152610779,0.075609736,0.036897454,0.021963615,0.02385861,50
222.69648146629333,0.06584167,0.031186087,0.018886825,0.019890405,100
335.40490770339966,0.06261354,0.027686676,0.017514078,0.01851688,150
448.05908966064453,0.060615156,0.025927704,0.017119464,0.017960738,200
560.5214307308197,0.059350226,0.025211185,0.016363896,0.016986143,250
673.5734605789185,0.058348417,0.023787906,0.015879128,0.016507402,300
785.8246688842773,0.05779681,0.023756128,0.015937898,0.016515829,350
898.2825810909271,0.0572777,0.023044227,0.01556822,0.016255666,400
1010.8261096477509,0.056870572,0.023071688,0.015563557,0.016291028,450
1133.9777626991272,0.056322616,0.022184867,0.015108204,0.015676089,500
