test_neural_fit_comp_times,test_eiko_epoch,test_mse_epoch,test_full_re,test_top_re,steps
109.9337797164917,0.051266093,0.015043332,0.01500111,0.013851006,50
223.31081128120422,0.03452027,0.00738578,0.01023025,0.009518705,100
335.4802739620209,0.028966358,0.005889138,0.009249831,0.0076892483,150
447.7281939983368,0.025465824,0.0042779646,0.0077606044,0.0065737376,200
562.6133601665497,0.02386273,0.0040974193,0.0074627595,0.006419926,250
673.0045976638794,0.022407755,0.0036338714,0.007141623,0.00611905,300
789.7982332706451,0.021301145,0.0032019052,0.0066021364,0.005461746,350
900.0787715911865,0.020852355,0.0032544814,0.0066337357,0.0054457383,400
1010.9008986949921,0.0200855,0.002962827,0.006236684,0.0051986566,450
1120.2530360221863,0.019517416,0.0029643776,0.0061751846,0.0050589126,500
