test_neural_fit_comp_times,test_eiko_epoch,test_mse_epoch,test_full_re,test_top_re,steps
109.8939688205719,0.045438584,0.0078023938,0.011792524,0.013479733,50
221.99649000167847,0.036183037,0.0051374473,0.009623292,0.010343004,100
333.98537826538086,0.03366091,0.004529381,0.009008915,0.009526536,150
446.2483594417572,0.03255043,0.0042789364,0.008677889,0.009099411,200
557.9999015331268,0.031745806,0.004088075,0.008498595,0.008763679,250
669.789021730423,0.031173319,0.00396465,0.008154235,0.008489669,300
783.1318192481995,0.030739108,0.0038672644,0.007949905,0.0084502585,350
894.8897597789764,0.030552473,0.0038206812,0.008031134,0.008430617,400
1007.0537164211273,0.030257953,0.0037788486,0.007981901,0.008367728,450
1117.9939584732056,0.030144624,0.0037409712,0.007963611,0.008327278,500
