test_neural_fit_comp_times,test_eiko_epoch,test_mse_epoch,test_full_re,test_top_re,steps
109.8893072605133,0.058661494,0.0121710375,0.011893882,0.01372245,50
221.8983976840973,0.053537525,0.010570703,0.010609075,0.011712017,100
334.35590291023254,0.05206373,0.0101415375,0.010347337,0.01118319,150
449.9707832336426,0.051432464,0.009931725,0.010287536,0.0111435745,200
560.2159986495972,0.050953474,0.009800078,0.010113824,0.010932203,250
671.8151710033417,0.05063118,0.009699554,0.010036217,0.010786025,300
783.8616344928741,0.050425734,0.009653465,0.010134159,0.01082667,350
896.061309337616,0.05020935,0.0095872525,0.010026187,0.010692035,400
1007.1859300136566,0.05008976,0.009550353,0.009982563,0.010677137,450
1120.0898554325104,0.04999505,0.009526631,0.009841184,0.010605743,500
